run,backend,source_fingerprint,case,phase,mode,probe_schema,span,paired_round_delta_elapsed_us_n,paired_round_delta_elapsed_us_median,paired_round_delta_elapsed_us_p95,paired_round_delta_elapsed_us_min,paired_round_delta_elapsed_us_max,paired_round_delta_thread_cycles_n,paired_round_delta_thread_cycles_median,paired_round_delta_thread_cycles_p95,paired_round_delta_thread_cycles_min,paired_round_delta_thread_cycles_max,elapsed_us_delta_of_medians,elapsed_us_delta_of_medians_percent,thread_cycles_delta_of_medians,thread_cycles_delta_of_medians_percent
player11-6bad76e3,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,2,newRoot,objects+,1,1.6000000000000014,1.6000000000000014,1.6000000000000014,1.6000000000000014,1,3456.0,3456.0,3456,3456,1.6000000000000014,8.938547486033531,3456.0,9.117530668777206
player11-6bad76e3,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,2,newRoot,objects-,1,-0.5999999999999996,-0.5999999999999996,-0.5999999999999996,-0.5999999999999996,1,-1313.0,-1313.0,-1313,-1313,-0.5999999999999996,-7.4074074074074066,-1313.0,-7.5166017861232
player11-6bad76e3,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,2,newRoot,objects_pair,1,1.0,1.0,1.0,1.0,1,2143.0,2143.0,2143,2143,1.0,3.8461538461538547,2143.0,3.870117205136081
player11-6bad76e3,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,2,newRoot,publishtotal,1,8.200000000000003,8.200000000000003,8.200000000000003,8.200000000000003,1,17297.0,17297.0,17297,17297,8.200000000000003,20.603015075376895,17297.0,20.64105776918579
player11-6bad76e3,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,3,newRoot,BuildPublish,1,-10.299999999999997,-10.299999999999997,-10.299999999999997,-10.299999999999997,1,-23917.0,-23917.0,-23917,-23917,-10.299999999999997,-12.018669778296376,-23917.0,-13.063759360713135
player11-6bad76e3,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,3,newRoot,BuildSide+,1,-11.900000000000002,-11.900000000000002,-11.900000000000002,-11.900000000000002,1,-25037.0,-25037.0,-25037,-25037,-11.900000000000002,-56.39810426540285,-25037.0,-56.44175928222006
player11-6bad76e3,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,3,newRoot,BuildSide-,1,8.799999999999999,8.799999999999999,8.799999999999999,8.799999999999999,1,18472.0,18472.0,18472,18472,8.799999999999999,88.88888888888889,18472.0,89.24533771378877
player11-6bad76e3,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,3,newRoot,BuildSide_pair,1,-3.1000000000000014,-3.1000000000000014,-3.1000000000000014,-3.1000000000000014,1,-6565.0,-6565.0,-6565,-6565,-3.1000000000000014,-10.000000000000009,-6565.0,-10.091150836958363
player11-6bad76e3,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,3,newRoot,SetActive+,1,3.3999999999999986,3.3999999999999986,3.3999999999999986,3.3999999999999986,1,7197.0,7197.0,7197,7197,3.3999999999999986,24.285714285714267,7197.0,24.096829276458976
player11-6bad76e3,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,3,newRoot,SetActive-,1,-6.800000000000001,-6.800000000000001,-6.800000000000001,-6.800000000000001,1,-14543.0,-14543.0,-14543,-14543,-6.800000000000001,-68.68686868686868,-14543.0,-67.91351452320912
player11-6bad76e3,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,3,newRoot,SetActive_pair,1,-3.3999999999999986,-3.3999999999999986,-3.3999999999999986,-3.3999999999999986,1,-7346.0,-7346.0,-7346,-7346,-3.3999999999999986,-14.225941422594135,-7346.0,-14.324993662370078
player11-6bad76e3,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,3,newRoot,buildtotal,1,-3.5,-3.5,-3.5,-3.5,1,-9622.0,-9622.0,-9622,-9622,-3.5,-7.625272331154687,-9622.0,-9.691780821917806
player11-6bad76e3,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,3,newRoot,colliders+,1,-0.8999999999999999,-0.8999999999999999,-0.8999999999999999,-0.8999999999999999,1,-1906.0,-1906.0,-1906,-1906,-0.8999999999999999,-47.36842105263158,-1906.0,-44.647458421175926
player11-6bad76e3,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,3,newRoot,colliders-,1,0.7,0.7,0.7,0.7,1,1580.0,1580.0,1580,1580,0.7,70.0,1580.0,66.97753285290378
player11-6bad76e3,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,3,newRoot,colliders_pair,1,-0.19999999999999973,-0.19999999999999973,-0.19999999999999973,-0.19999999999999973,1,-326.0,-326.0,-326,-326,-0.19999999999999973,-6.896551724137923,-326.0,-4.918527459263733
player11-6bad76e3,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,3,newRoot,newRoot+,1,-3.9999999999999996,-3.9999999999999996,-3.9999999999999996,-3.9999999999999996,1,-8716.0,-8716.0,-8716,-8716,-3.9999999999999996,-65.57377049180327,-8716.0,-65.6671438258118
player11-6bad76e3,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,3,newRoot,newRoot-,1,2.5999999999999996,2.5999999999999996,2.5999999999999996,2.5999999999999996,1,5530.0,5530.0,5530,5530,2.5999999999999996,129.99999999999997,5530.0,123.49263063867797
player11-6bad76e3,IL2CPP,ac74cac748fd6e6ebd6d35c6cdd90d5b116a231b61a1104ebdec526eee938e26,box,warmup,3,newRoot,newRoot_pair,1,-1.3999999999999995,-1.3999999999999995,-1.3999999999999995,-1.3999999999999995,1,-3186.0,-3186.0,-3186,-3186,-1.3999999999999995,-17.28395061728395,-3186.0,-17.948284603684293
