case,case_order,round,order,mode,warmup,span_id,span,ticks,thread_cycles,count,frequency,positive_colliders,negative_colliders,build_positive_first,activate_positive_first,published,validated,cleaned
box,0,5,0,1,0,4,colliders-,34,7458,1,10000000,1,1,0,0,1,1,1
box,0,5,0,1,0,5,publishtotal,438,92275,1,10000000,1,1,0,0,1,1,1
box,0,5,0,1,0,6,SetActive+,145,31043,1,10000000,1,1,0,0,1,1,1
box,0,5,0,1,0,7,SetActive-,114,24648,1,10000000,1,1,0,0,1,1,1
box,0,5,0,1,0,8,BuildSide+,107,22389,1,10000000,1,1,0,0,1,1,1
box,0,5,0,1,0,9,BuildSide-,275,58053,1,10000000,1,1,0,0,1,1,1
box,0,5,0,1,0,10,newRoot+,25,5794,1,10000000,1,1,0,0,1,1,1
box,0,5,0,1,0,11,newRoot-,68,14671,1,10000000,1,1,0,0,1,1,1
box,0,5,1,2,0,0,buildtotal,580,122862,1,10000000,1,1,1,1,1,1,1
box,0,5,1,2,0,1,objects+,225,47849,1,10000000,1,1,1,1,1,1,1
box,0,5,1,2,0,2,objects-,96,20498,1,10000000,1,1,1,1,1,1,1
